,authors,author_ids,title,abstract,pub_year,journal,citations,eprint_url,pub_url,citedby_url,scilab_url,related_articles_url,scholarbib_url
10,"['EJ Lessner', 'CM Holliday']","['mAOYNf4AAAAJ', 'KgKkoMkAAAAJ']",A 3D ontogenetic atlas of Alligator mississippiensis cranial nerves and their significance for comparative neurology of reptiles,"The scan for this specimen was conducted on a Zeiss Xradia Versa 510 using 80kV and  a voxel size of 20.723μm. The fourth is a specimen with a 9.8 cm skull length (MUVC AL623).  The removed head was bisected, fixed in 10% neutral buffered formalin, and scanned with a",2020,The Anatomical Record,6,https://anatomypubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ar.24550,https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ar.24550,"/scholar?cites=14307954198978597977&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=WZSthIkQkMYJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:WZSthIkQkMYJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:WZSthIkQkMYJ:scholar.google.com/&output=cite&scirp=10&hl=en
11,"['J Chiverton', 'A Kao', 'G Tozzi']","['UinAs4UAAAAJ', 'J6dFnNMAAAAJ', 'aTx4p-wAAAAJ']",Orientation distribution and mean width determination in micro X-Ray CT images of fibrous materials,Polycaprolactone (PCL) electrospun fibrous material was prepared and imaged with a Zeiss  Xradia Versa 510 Microtomography XCT.  Imaging data of fibrous materials is collected using  our Zeiss Xradia Versa 510 Microtomography X-Ray Computer Tomography (XCT) system,2017,​ IET 3rd International …,0,https://researchportal.port.ac.uk/portal/files/10421519/jcakgtmr_ietisp2017.pdf,https://ieeexplore.ieee.org/abstract/document/8361513/,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=c9Jtl2W0PREJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:c9Jtl2W0PREJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:c9Jtl2W0PREJ:scholar.google.com/&output=cite&scirp=11&hl=en
12,"['LP Mikkelsen', 'KM Jespersen']","['2GUSDXwAAAAJ', 'cUkSaycAAAAJ']",Approach for investigations of progressive fatigue damage in 3D in fibre composites using X-ray tomography,"In the presented work, a Zeiss Xradia Versa 520 scanner has been used in connection with  ex-situ fatigue testing with the purpose of identifying fibre failure during the fatigue loading.  The load carrying laminates is typically based on stacking of a number of non-crimp fabrics in",2016,1st International Symposium on Multi …,0,,https://orbit.dtu.dk/en/publications/approach-for-investigations-of-progressive-fatigue-damage-in-3d-i,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=AP8DP0FV0jYJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=",,/scholar?q=info:AP8DP0FV0jYJ:scholar.google.com/&output=cite&scirp=12&hl=en
13,"['A Thompson', 'L Körner', 'N Senin', 'S Lawes']","['ArCv5oUAAAAJ', '', 'Q99ZX2oAAAAJ', '']",Measurement of internal surfaces of additively manufactured parts by X-ray computed tomography,"The two industrial XCT systems available at the University of Nottingham are a Nikon  Metrology MCT 225, and a Zeiss XRadia Versa XRM 500,  As the Zeiss XRadia system is not  a metrology system, XRadia datasets were scaled in reference to CSI data (keeping proportions",2017,NA,17,https://nottingham-repository.worktribe.com/preview/847097/Measurement%20of%20the%20internal%20surface%20texture%20of%20additively%20manufactured%20parts%20by%20X-ray%20computed%20tomography_4.5_AT.pdf,https://nottingham-repository.worktribe.com/output/847081/measurement-of-internal-surfaces-of-additively-manufactured-parts-by-x-ray-computed-tomography,"/scholar?cites=8592664606836591752&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=iAyRHO9GP3cJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:iAyRHO9GP3cJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:iAyRHO9GP3cJ:scholar.google.com/&output=cite&scirp=13&hl=en
14,['P Dimpler'],[''],Bruker Introduces Light-Sheet Microscope for Imaging Optically Cleared Samples Bruker announced the release of the Luxendo MuVi SPIM light-sheet fluorescence …,ZEISS introduced two new advanced models of the ZEISS Xradia Versa family: The ZEISS  Xradia 610 and 620 Versa X-ray microscopes. They  Researchers and scientists across the  world rely on the signature resolution at a distance (RaaD) capability of ZEISS Xradia Versa,NA,NA,0,https://scholar.archive.org/work/5fgqgdnwc5efpbd6v6kfpwf4wm/access/wayback/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/139ED198270B14A8429E0F96D38608D7/S1551929519000361a.pdf/div-class-title-productnews-div.pdf,https://www.cambridge.org/core/journals/microscopy-today/article/productnews/139ED198270B14A8429E0F96D38608D7,,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=iYqzIXH6rWAJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=",,/scholar?q=info:iYqzIXH6rWAJ:scholar.google.com/&output=cite&scirp=14&hl=en
15,"['L Lavery', 'W Harris', 'J Gelb', 'A Merkle']","['', '', '2bx2FtIAAAAJ', '4ob09D8AAAAJ']",Recent advancements in 3D X-ray microscopes for additive manufacturing,"As illustrated in Figure 1, interior (local) tomography is routinely performed, as ZEISS Xradia  Versa XRM (Figure 2) architecture has been designed to maintain sub-micron spatial  resolution for a variety of working distances and sample sizes/geometries. System is capable of",2015,Microscopy and Microanalysis,7,https://www.researchgate.net/profile/Leah-Lavery/publication/311523965_Recent_Advancements_in_3D_X-ray_Microscopes_for_Additive_Manufacturing/links/589ca4e345851573881be9d5/Recent-Advancements-in-3D-X-ray-Microscopes-for-Additive-Manufacturing.pdf,https://www.cambridge.org/core/journals/microscopy-and-microanalysis/article/recent-advancements-in-3d-xray-microscopes-for-additive-manufacturing/EE886877152176152553AA2DAEE4E055,"/scholar?cites=15043225579254649685&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=VROLP_ZFxNAJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:VROLP_ZFxNAJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:VROLP_ZFxNAJ:scholar.google.com/&output=cite&scirp=15&hl=en
16,"['OO Taiwo', 'DP Finegan', 'J Gelb', 'C Holzner']","['8YB2wLkAAAAJ', 'reEtYEkAAAAJ', '2bx2FtIAAAAJ', '']",The use of contrast enhancement techniques in X-ray imaging of lithium–ion battery electrodes,"Following electrode preparation, the three-dimensional microstructure of an electrode  sample was examined using two X-ray tomography platforms: laboratory-based micron-scale  XRM (ZEISS Xradia Versa 520, Carl Zeiss X-ray Microscopy Inc., Pleasanton, CA) and nano-",2016,Chemical Engineering …,44,https://www.sciencedirect.com/science/article/pii/S0009250916301865,https://www.sciencedirect.com/science/article/pii/S0009250916301865,"/scholar?cites=11854229561392327576&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=mGu5zPqugqQJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:mGu5zPqugqQJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:mGu5zPqugqQJ:scholar.google.com/&output=cite&scirp=16&hl=en
17,"['HR Lee', 'L Liao', 'W Xiao', 'A Vailionis', 'AJ Ricco']","['', '9aEe5wMAAAAJ', 'ukGUDAoAAAAJ', 'HwQQGhgAAAAJ', '6bOeFTwAAAAJ']",Three-dimensional analysis of particle distribution on filter layers inside N95 respirators by deep learning,We used two XRM systems: the Xradia 520 (micro-XRM or micro-CT) offers a relatively large  field of view with pixel size of 0.5–0.7 μm; the  Fiber and particle occupancy results were  quantified by full-depth 3D filter fabric data collected using the Zeiss Xradia 520 system. Particle,2020,Nano …,12,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7737533/,https://pubs.acs.org/doi/abs/10.1021/acs.nanolett.0c04230,"/scholar?cites=27841875831661619&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=M6TT3gnqYgAJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:M6TT3gnqYgAJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:M6TT3gnqYgAJ:scholar.google.com/&output=cite&scirp=17&hl=en
18,"['M Busse', 'M Müller', 'MA Kimm', 'S Ferstl']","['5C8DrgEAAAAJ', '', '', '']",Three-dimensional virtual histology enabled through cytoplasm-specific X-ray stain for microscopic and nanoscopic computed tomography,Both data sets were acquired with the Xradia Versa 500 microCT using identical acquisition  parameters. The voxel size in both data sets is  The X-ray microCT measurements were  performed with the ZEISS Xradia Versa 500. All shown images were acquired at 50-kV peak,2018,Proceedings of the …,57,https://www.pnas.org/content/pnas/115/10/2293.full.pdf,https://www.pnas.org/content/115/10/2293.short,"/scholar?cites=17524584316991953745&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=UduvSpbUM_MJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:UduvSpbUM_MJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:UduvSpbUM_MJ:scholar.google.com/&output=cite&scirp=18&hl=en
19,"['I Bacaicoa', 'M Lütje', 'P Sälzer', 'C Umbach']","['', '', '', '']",Comparative investigation of two-dimensional imaging methods and X-ray tomography in the characterization of microstructure,"The three-dimensional measurements were carried out using a ZEISS Xradia Versa 520  X-ray microscope at a voltage of 60 kV and a current of 85.6 µA in the analysis of the Fe-rich  inclusions, after which 995 radiographs were captured with a resolution of 1.0 µm and an",2017,Materials …,6,https://www.researchgate.net/profile/Angelika-Brueckner-Foit/publication/320285048_Comparative_investigation_of_two-dimensional_imaging_methods_and_X-ray_tomography_in_the_characterization_of_microstructure/links/59e0b75daca272386b7a5d69/Comparative-investigation-of-two-dimensional-imaging-methods-and-X-ray-tomography-in-the-characterization-of-microstructure.pdf,https://www.degruyter.com/document/doi/10.3139/120.111076/html,"/scholar?cites=4265241111632996471&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D10%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=d-hGXDEuMTsJ&ei=YH9tYfajGvWO6rQP-_6sgAI&json=","/scholar?q=related:d-hGXDEuMTsJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:d-hGXDEuMTsJ:scholar.google.com/&output=cite&scirp=19&hl=en
20,"['S Yu', 'YH Hwang', 'JY Hwang', 'SH Hong']","['', '', '', '9xSpzOsAAAAJ']",Analytical study on the 3D-printed structure and mechanical properties of basalt fiber-reinforced PLA composites using X-ray microscopy,"The internal morphologies of the 3D-printed and mold-pressed samples were acquired  via non-destructive, high-resolution XRM (Xradia 620 Versa, Zeiss, Germany). ZEISS Xradia  Versa uses a two-stage magnification architecture to enable submicron resolution imaging at",2019,Composites Science and …,39,,https://www.sciencedirect.com/science/article/pii/S0266353818329178,"/scholar?cites=1407824130064490007&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D20%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=F563WpaYiRMJ&ei=Z39tYfuEA8yR6rQPrvmsUA&json=","/scholar?q=related:F563WpaYiRMJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:F563WpaYiRMJ:scholar.google.com/&output=cite&scirp=20&hl=en
21,"['KM Jespersen', 'LP Mikkelsen']","['cUkSaycAAAAJ', '2GUSDXwAAAAJ']",Ex-situ X-ray computed tomography data for a non-crimp fabric based glass fibre composite under fatigue loading,"The “.txrm” format is the regular output format for the raw image data of the Zeiss Xradia  Versa 520 system used for the experiments before reconstruction. In addition, a large field of  view (LFOV) dataset and a video showing the 3D visualisation of uni-directional fibre fractures (",2017,Data in brief,3,https://www.sciencedirect.com/science/article/pii/S2352340917305954,https://www.sciencedirect.com/science/article/pii/S2352340917305954,"/scholar?cites=10799662376148092808&as_sdt=2005&sciodt=0,5&hl=en","/citations?hl=en&xsrf=&continue=/scholar%3Fq%3DXradia%2B%2522Zeiss%2BXradia%2522%2B%2522Xradia%2BVersa%2522%26hl%3Den%26start%3D20%26as_sdt%3D0,5&citilm=1&update_op=library_add&info=iEd1SLYb4JUJ&ei=Z39tYfuEA8yR6rQPrvmsUA&json=","/scholar?q=related:iEd1SLYb4JUJ:scholar.google.com/&scioq=Xradia+%22Zeiss+Xradia%22+%22Xradia+Versa%22&hl=en&as_sdt=0,5",/scholar?q=info:iEd1SLYb4JUJ:scholar.google.com/&output=cite&scirp=21&hl=en
